main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
BUDGETS,"Unanticipated revenues, creating joint legislative interim budget committee to oversee, when",https://app.leg.wa.gov/billsummary?BillNumber=5316&Year=2021&Initiative=false,SB 5316,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight of state financial management.,"Linda Wilson, Rolfes, Braun, Brown, Dozier, Gildon, Rivers, Schoesler, Short, Warnick",No Requester,2,10
BUDGETS,"Agency budget requests, zero-based budget reviews in",https://app.leg.wa.gov/billsummary?BillNumber=1178&Year=2021&Initiative=false,HB 1178,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Improving state budgeting through zero-based budget reviews.,"Stokesbary, Dufault, Young, Kraft, Barkis, Robertson",No Requester,0,6
BUDGETS,"Appropriations, certain 2019-2021 biennial, freeing up certain federal coronavirus funds by reattributing of",https://app.leg.wa.gov/billsummary?BillNumber=5344&Year=2021&Initiative=false,SB 5344,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Responding to the COVID-19 pandemic through state actions supported by federal funding.,"Rolfes, Robinson, Billig, Dhingra, Nguyen, Nobles, Randall, Saldaña",No Requester,7,0
BUDGETS,"Appropriations, certain 2019-2021 biennial, reattributing to budget stabilization account/federal medicaid funds",https://app.leg.wa.gov/billsummary?BillNumber=5343&Year=2021&Initiative=false,SB 5343,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Revising 2019-2021 fiscal biennium appropriations of state and federal funding for previously implemented medicaid rates and other medicaid expenditures in the developmental disabilities and long-term care programs in response to the COVID-19 pandemic.,"Rolfes, Robinson, Dhingra, Nguyen",No Requester,4,0
BUDGETS,"Appropriations, certain 2019-2021 biennial, reattributing to free up federal coronavirus relief funds",https://app.leg.wa.gov/billsummary?BillNumber=1467&Year=2021&Initiative=false,HB 1467,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Authorizing appropriations from the budget stabilization account to replace prior state expenditures from federal coronavirus relief funding.,"Stokesbary, Robertson, Dufault, Sutherland, Jacobsen, Chambers",No Requester,0,6
BUDGETS,"Budgets transition work group, chairs of transportation committees to convene",https://app.leg.wa.gov/billsummary?BillNumber=1603&Year=2021&Initiative=false,HB 1603,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Shifting funding obligations from the transportation appropriations act to the operating appropriations act.,"Barkis, Stokesbary, Abbarno, Caldier, Eslick, Graham, Robertson, Corry, Chase, Sutherland, Dufault, Jacobsen, Volz, Griffey, Chambers, Young",No Requester,0,16
BUDGETS,"Capital construction projects, major, capital budget matching grants program for higher education institutions",https://app.leg.wa.gov/billsummary?BillNumber=5958&Year=2021&Initiative=false,SB 5958,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Providing capital budget matching grants to independent higher education institutions.,Honeyford,No Requester,0,1
BUDGETS,"Capital construction projects, major, predesign requirements, reducing",https://app.leg.wa.gov/billsummary?BillNumber=1023&Year=2021&Initiative=false,HB 1023,54 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning predesign requirements and thresholds.,"Steele, Tharinger, Callan, Young",No Requester,2,2
BUDGETS,"Capital projects, 4-year colleges, supporting health care/behavioral health occupations degree programs enrollment",https://app.leg.wa.gov/billsummary?BillNumber=1949&Year=2021&Initiative=false,HB 1949,Cap Budget,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prioritizing higher education capital projects.,Caldier,No Requester,0,1
BUDGETS,"Capital, 2021-2023 and supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5083&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5083,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the capital budget.,"Frockt, Mullet, Claire Wilson",Office of Financial Management,3,2
BUDGETS,"Capital, general obligation bonds for projects",https://app.leg.wa.gov/billsummary?BillNumber=5084&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5084,331 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning state general obligation bonds and related accounts.,"Frockt, Mullet, Claire Wilson",Office of Financial Management,3,2
BUDGETS,"Capital, supplemental 2021-2023",https://app.leg.wa.gov/billsummary?BillNumber=5651&Year=2021&Initiative=false,Substitute - SSB 5651,296 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning the capital budget.,Frockt,Office of Financial Management,1,0
BUDGETS,"Deficit, 2021-2022 biennium, near-general fund/outlook analysis and deficit",https://app.leg.wa.gov/billsummary?BillNumber=1163&Year=2021&Initiative=false,HB 1163,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight and management of the state budgeting and expenditure process.,Stokesbary,No Requester,0,1
BUDGETS,"Expenditure limit, determining, adjusting, projecting, and lowering, when",https://app.leg.wa.gov/billsummary?BillNumber=1999&Year=2021&Initiative=false,HB 1999,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Reestablishing a state expenditure limit.,"Walsh, Caldier, Sutherland, Jacobsen, Chambers, Dufault, Young",No Requester,0,7
BUDGETS,"Expenditure limit, state expenditure limit committee, establishment and duties of",https://app.leg.wa.gov/billsummary?BillNumber=1999&Year=2021&Initiative=false,HB 1999,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Reestablishing a state expenditure limit.,"Walsh, Caldier, Sutherland, Jacobsen, Chambers, Dufault, Young",No Requester,0,7
BUDGETS,"Fiscal oversight committee, joint legislative, establishing to oversee deficits/certain reductions and receipts",https://app.leg.wa.gov/billsummary?BillNumber=1163&Year=2021&Initiative=false,HB 1163,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight and management of the state budgeting and expenditure process.,Stokesbary,No Requester,0,1
BUDGETS,"General fund, cash or budget deficit of, when governor projects",https://app.leg.wa.gov/billsummary?BillNumber=1163&Year=2021&Initiative=false,HB 1163,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight and management of the state budgeting and expenditure process.,Stokesbary,No Requester,0,1
BUDGETS,"General fund, transportation programs and activities funding from, when",https://app.leg.wa.gov/billsummary?BillNumber=1603&Year=2021&Initiative=false,HB 1603,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Shifting funding obligations from the transportation appropriations act to the operating appropriations act.,"Barkis, Stokesbary, Abbarno, Caldier, Eslick, Graham, Robertson, Corry, Chase, Sutherland, Dufault, Jacobsen, Volz, Griffey, Chambers, Young",No Requester,0,16
BUDGETS,"Nonappropriated funds/accounts, receiving business/organization fees, transfers from, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=1146&Year=2021&Initiative=false,HB 1146,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting the transfer of moneys in nonappropriated funds and accounts.,"Hoff, Vick",No Requester,0,2
BUDGETS,"Operating budgets, agency nonentitlement programs, zero-based budget reviews of, specifying in act",https://app.leg.wa.gov/billsummary?BillNumber=1178&Year=2021&Initiative=false,HB 1178,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Improving state budgeting through zero-based budget reviews.,"Stokesbary, Dufault, Young, Kraft, Barkis, Robertson",No Requester,0,6
BUDGETS,"Operating, 2021-2023",https://app.leg.wa.gov/billsummary?BillNumber=5092&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5092,334 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Making 2021-2023 fiscal biennium operating appropriations.,"Rolfes, Linda Wilson, Claire Wilson",Office of the Governor,2,2
BUDGETS,"Operating, 2021-2023 and second supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5451&Year=2021&Initiative=false,SB 5451,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making 2021-2023 fiscal biennium operating appropriations and 2019-2021 fiscal biennium second supplemental operating appropriations.,"Linda Wilson, Wagoner",No Requester,1,3
BUDGETS,"Operating, general obligation bonds for projects, authority to issue",https://app.leg.wa.gov/billsummary?BillNumber=5084&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5084,331 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning state general obligation bonds and related accounts.,"Frockt, Mullet, Claire Wilson",Office of Financial Management,3,2
BUDGETS,"Operating, school district compensation regionalization factors",https://app.leg.wa.gov/billsummary?BillNumber=1077&Year=2021&Initiative=false,HB 1077,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning Federal Way school district regionalization.,"Jesse Johnson, Gregerson",No Requester,2,0
BUDGETS,"Operating, second supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5091&Year=2021&Initiative=false,SB 5091,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making 2019-2021 fiscal biennium second supplemental operating appropriations.,"Rolfes, Linda Wilson, Claire Wilson",Office of the Governor,2,2
BUDGETS,"Operating, shifting transportation funding obligations to operating budget",https://app.leg.wa.gov/billsummary?BillNumber=1603&Year=2021&Initiative=false,HB 1603,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Shifting funding obligations from the transportation appropriations act to the operating appropriations act.,"Barkis, Stokesbary, Abbarno, Caldier, Eslick, Graham, Robertson, Corry, Chase, Sutherland, Dufault, Jacobsen, Volz, Griffey, Chambers, Young",No Requester,0,16
BUDGETS,"Operating, supplemental 2021-2023",https://app.leg.wa.gov/billsummary?BillNumber=5693&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5693,297 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Making 2021-2023 fiscal biennium supplemental operating appropriations.,"Rolfes, Linda Wilson, Nguyen",Office of Financial Management,3,2
BUDGETS,"Spending programs, new statutory state, performance statements/expiration dates for and JLARC review of",https://app.leg.wa.gov/billsummary?BillNumber=1177&Year=2021&Initiative=false,HB 1177,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Implementing the periodic review of state spending programs.,"Stokesbary, Dufault, Young, Walen, Barkis, Robertson",No Requester,1,5
BUDGETS,"Transportation, 2021-2023",https://app.leg.wa.gov/billsummary?BillNumber=5165&Year=2021&Initiative=false,Substitute - SSB 5165,333 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Making transportation appropriations for the 2021-2023 fiscal biennium.,"Hobbs, King, Nobles, Saldaña, Claire Wilson",Office of Financial Management,2,3
BUDGETS,"Transportation, 2021-2023 and supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5165&Year=2021&Initiative=false,Substitute - SSB 5165,333 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Making transportation appropriations for the 2021-2023 fiscal biennium.,"Hobbs, King, Nobles, Saldaña, Claire Wilson",Office of Financial Management,2,3
BUDGETS,"Transportation, additive omnibus transportation budget for certain operating and capital appropriations",https://app.leg.wa.gov/billsummary?BillNumber=5975&Year=2021&Initiative=false,Substitute - SSB 5975,187 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning additive transportation funding and appropriations.,"Liias, Randall, Carlyle, Cleveland, Das, Dhingra, Hunt, Kuderer, Lovelett, Lovick, Mullet, Nguyen, Nobles, Rolfes, Salomon, Trudeau, Wellman, Claire Wilson",No Requester,18,2
BUDGETS,"Transportation, infrastructure, motor vehicle sales/use tax revenue for",https://app.leg.wa.gov/billsummary?BillNumber=1604&Year=2021&Initiative=false,HB 1604,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Dedicating the state sales tax on motor vehicles for transportation.,"MacEwen, Barkis, Abbarno, Caldier, Eslick, Robertson, Graham, Corry, Stokesbary, Chase, Dufault, Gilday, Jacobsen, Volz, Maycumber, Griffey, Chambers, Young",No Requester,0,18
BUDGETS,"Transportation, omnibus transportation appropriations act improvements, general obligation bonds for",https://app.leg.wa.gov/billsummary?BillNumber=5481&Year=2021&Initiative=false,SB 5481,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Authorizing bonds for transportation funding.,"Hobbs, Cleveland, Das, Keiser, Kuderer, Randall, Sheldon, Claire Wilson",No Requester,7,2
BUDGETS,"Transportation, shifting transportation funding obligations to operating budget",https://app.leg.wa.gov/billsummary?BillNumber=1603&Year=2021&Initiative=false,HB 1603,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Shifting funding obligations from the transportation appropriations act to the operating appropriations act.,"Barkis, Stokesbary, Abbarno, Caldier, Eslick, Graham, Robertson, Corry, Chase, Sutherland, Dufault, Jacobsen, Volz, Griffey, Chambers, Young",No Requester,0,16
BUDGETS,"Transportation, supplemental 2019-2021",https://app.leg.wa.gov/billsummary?BillNumber=5166&Year=2021&Initiative=false,SB 5166,Transportation,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Making 2019-2021 supplemental transportation appropriations.,"Hobbs, King, Nobles, Saldaña, Claire Wilson",Office of Financial Management,2,3
BUDGETS,"Transportation, supplemental 2021-2023",https://app.leg.wa.gov/billsummary?BillNumber=5689&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5689,186 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Making supplemental transportation appropriations for the 2021-2023 fiscal biennium.,"Liias, Saldaña, Nguyen, Nobles, Claire Wilson",Office of Financial Management,4,2
BUDGETS,"Transportation, transportation preservation and maintenance account for",https://app.leg.wa.gov/billsummary?BillNumber=1604&Year=2021&Initiative=false,HB 1604,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Dedicating the state sales tax on motor vehicles for transportation.,"MacEwen, Barkis, Abbarno, Caldier, Eslick, Robertson, Graham, Corry, Stokesbary, Chase, Dufault, Gilday, Jacobsen, Volz, Maycumber, Griffey, Chambers, Young",No Requester,0,18
BUDGETS,"Unanticipated moneys from nonstate sources, using to reduce general fund allotments",https://app.leg.wa.gov/billsummary?BillNumber=5316&Year=2021&Initiative=false,SB 5316,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight of state financial management.,"Linda Wilson, Rolfes, Braun, Brown, Dozier, Gildon, Rivers, Schoesler, Short, Warnick",No Requester,2,10
BUDGETS,"Unanticipated receipts, agency allotment amendment request or appropriation during session",https://app.leg.wa.gov/billsummary?BillNumber=5162&Year=2021&Initiative=false,SB 5162,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning unanticipated revenue.,"Rolfes, Billig, King, Saldaña, Claire Wilson",No Requester,3,3
BUDGETS,"Unanticipated receipts, agency request and governor transmission",https://app.leg.wa.gov/billsummary?BillNumber=1163&Year=2021&Initiative=false,HB 1163,Approps,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight and management of the state budgeting and expenditure process.,Stokesbary,No Requester,0,1
BUDGETS,"Unanticipated revenue oversight committee, joint legislative, creating",https://app.leg.wa.gov/billsummary?BillNumber=5909&Year=2021&Initiative=false,SB 5909,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning legislative oversight of gubernatorial powers concerning emergency proclamations and unanticipated receipts.,"Randall, Van De Wege, Carlyle, Conway, Hunt, Mullet, Rolfes, Stanford",No Requester,8,0
BUDGETS,"Unanticipated revenues, agency allotment amendment request, role of governor and new oversight committee",https://app.leg.wa.gov/billsummary?BillNumber=5909&Year=2021&Initiative=false,SB 5909,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning legislative oversight of gubernatorial powers concerning emergency proclamations and unanticipated receipts.,"Randall, Van De Wege, Carlyle, Conway, Hunt, Mullet, Rolfes, Stanford",No Requester,8,0
BUDGETS,"Unanticipated revenues, creating joint legislative interim budget committee to oversee, when",https://app.leg.wa.gov/billsummary?BillNumber=5316&Year=2021&Initiative=false,SB 5316,Ways & Means,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning oversight of state financial management.,"Linda Wilson, Rolfes, Braun, Brown, Dozier, Gildon, Rivers, Schoesler, Short, Warnick",No Requester,2,10
